[2025-02-17 10:23:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 386, 'op': 0, 'd': {'user': {'id': '927108202867359745'}, 'status': 'idle', 'guild_id': '901431481090596924', 'client_status': {'web': 'idle'}, 'activities': [{'type': 2, 'name': 'Saiko', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813037033}]}}
[2025-02-17 10:24:01] [DEBUG   ] discord.client: Dispatching event interaction
[2025-02-17 10:24:01] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 388.
[2025-02-17 10:24:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-02-17 10:24:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 389, 'op': 0, 'd': {'webhook_id': '1109699958401159258', 'type': 20, 'tts': False, 'timestamp': '2025-02-17T17:23:58.777000+00:00', 'position': 0, 'pinned': False, 'nonce': '1341097839282880512', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1341064876176572470'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-02-17T15:13:02.337402+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'interaction_metadata': {'user': {'username': 'johnrealnoob', 'public_flags': 0, 'primary_guild': None, 'id': '668317895616626711', 'global_name': 'JohnRealNoob', 'discriminator': '0', 'clan': None, 'avatar_decoration_data': {'sku_id': '1338927497860878466', 'expires_at': 1744963200, 'asset': 'a_1307226c0fbaee9a3def12b88ee2bfcc'}, 'avatar': '63a84bc11c7e879080baf0028b93df1d'}, 'type': 2, 'name': 'play', 'id': '1341097828033888256', 'command_type': 1, 'authorizing_integration_owners': {'0': '1053969038751047700'}}, 'interaction': {'user': {'username': 'johnrealnoob', 'public_flags': 0, 'primary_guild': None, 'id': '668317895616626711', 'global_name': 'JohnRealNoob', 'discriminator': '0', 'clan': None, 'avatar_decoration_data': {'sku_id': '1338927497860878466', 'expires_at': 1744963200, 'asset': 'a_1307226c0fbaee9a3def12b88ee2bfcc'}, 'avatar': '63a84bc11c7e879080baf0028b93df1d'}, 'type': 2, 'name': 'play', 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-12-18T09:36:40.650000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1341097828033888256'}, 'id': '1341097828792926349', 'flags': 128, 'embeds': [], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1316225608275066931', 'author': {'username': 'BaiCha', 'public_flags': 0, 'primary_guild': None, 'id': '1109699958401159258', 'global_name': None, 'discriminator': '0643', 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '7cd4cadab5094738da3acbcfc38c145a'}, 'attachments': [], 'application_id': '1109699958401159258', 'guild_id': '1053969038751047700'}}
[2025-02-17 10:24:01] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:01] [DEBUG   ] discord.client: Dispatching event message
[2025-02-17 10:24:01] [DEBUG   ] discord.webhook.async_: Webhook ID 1341097828033888256 with POST https://discord.com/api/v10/interactions/1341097828033888256/aW50ZXJhY3Rpb246MTM0MTA5NzgyODAzMzg4ODI1NjptNW5BZ3l6YUpSa0JpWE5QMGFJdVhYejNyWmpzN1NpVVBuSEtkQXlTUW5oWDBONTNkSGRGdEp1Q0gwNUQ4T3RRdjlVV00zNDdyN3BOejJ6ZnNQaUdBZU9TaTZCVUpMdU5NQ0Q5ZEdjOW84bXJTQzA4OTNmNEtPZHh1SjhzdkpLOQ/callback has returned status code 204
[2025-02-17 10:24:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 390, 'op': 0, 'd': {'user': {'id': '1244291562738024479'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': '🪄 /help | ดูคำสั่งทั้งหมด', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813039356}]}}
[2025-02-17 10:24:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:02] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:05] [DEBUG   ] discord.gateway: Keeping shard ID None voice websocket alive with timestamp 1739813045071.
[2025-02-17 10:24:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 391, 'op': 0, 'd': {'user': {'id': '927108202867359745'}, 'status': 'idle', 'guild_id': '901431481090596924', 'client_status': {'web': 'idle'}, 'activities': [{'type': 2, 'name': 'Saiko', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813042036}]}}
[2025-02-17 10:24:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:05] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:05] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 3, 'd': 1739813045071}.
[2025-02-17 10:24:05] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 6, 'd': 1739813045071}
[2025-02-17 10:24:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 392, 'op': 0, 'd': {'user': {'id': '589669331642613780'}, 'status': 'offline', 'guild_id': '901431481090596924', 'client_status': {}, 'activities': []}}
[2025-02-17 10:24:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:05] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:05] [DEBUG   ] discord.player: Spawning ffmpeg process with command: ['ffmpeg', '-reconnect', '1', '-reconnect_streamed', '1', '-reconnect_delay_max', '5', '-i', 'https://rr2---sn-najern7r.googlevideo.com/videoplayback?expire=1739834640&ei=sHCzZ7zDJLStlu8Pq7nCOQ&ip=38.148.93.91&id=o-AAUtm2tcM37o2eUMBPflKN79XQIaT9MQJALbDXHyh2zS&itag=251&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1739813040%2C&mh=ZP&mm=31%2C26&mn=sn-najern7r%2Csn-a5mekndl&ms=au%2Conr&mv=m&mvi=2&pl=21&rms=au%2Cau&gcr=us&initcwndbps=5311250&bui=AUWDL3yysnKvYIAD3vQC_QP-DBb4JgUVf5WTBlXa6Ss-_ae4wl5ohoQCuAoSV8rQDwi_5HjFNqc5EouQ&spc=RjZbScQGktsmeMJCGsbpnp8OByqNJkPYN2e7H8KAVq3dkTHNOlZAGz2MYMAwV6x6Pg&vprv=1&svpuc=1&mime=audio%2Fwebm&ns=V_GiUOLmudUtLQostWEv1UIQ&rqh=1&gir=yes&clen=3278343&dur=197.861&lmt=1714713428431770&mt=1739812621&fvip=5&keepalive=yes&lmw=1&fexp=51326932&c=TVHTML5&sefc=1&txp=4532434&n=8JYTfkp0HUUNKA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=AGluJ3MwRAIgcHyBtqFeCY56sg6p1BsfYZTs878uTssFmK1fILLB_tcCIHwuZ4mcCcmf5u-hG6L6MumLBI07kYmOXSgGduj9oZFa&sig=AJfQdSswRQIgC39x3QXmaCPzWaO_puN9VyLgcQxF8H7dF_-cfkxQV3ECIQCfN-l9oWDneRL3_RGdrl0sBh7O2XHZ2iTPjpIToqRgXg%3D%3D', '-map_metadata', '-1', '-f', 'opus', '-c:a', 'libopus', '-ar', '48000', '-ac', '2', '-b:a', '128k', '-loglevel', 'warning', '-fec', 'true', '-packet_loss', '15', '-blocksize', '8192', '-vn', '-filter:a', 'volume=0.25', 'pipe:1']
[2025-02-17 10:24:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 393, 'op': 0, 'd': {'user': {'id': '1244291562738024479'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': 'Playing in 2 Servers 🎶', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813042356}]}}
[2025-02-17 10:24:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:05] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:05] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_UPDATE', 's': 394, 'op': 0, 'd': {'webhook_id': '1109699958401159258', 'type': 20, 'tts': False, 'timestamp': '2025-02-17T17:23:58.777000+00:00', 'position': 0, 'pinned': False, 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1341064876176572470'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-02-17T15:13:02.337402+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'interaction_metadata': {'user': {'username': 'johnrealnoob', 'public_flags': 0, 'primary_guild': None, 'id': '668317895616626711', 'global_name': 'JohnRealNoob', 'discriminator': '0', 'clan': None, 'avatar_decoration_data': {'sku_id': '1338927497860878466', 'expires_at': 1744963200, 'asset': 'a_1307226c0fbaee9a3def12b88ee2bfcc'}, 'avatar': '63a84bc11c7e879080baf0028b93df1d'}, 'type': 2, 'name': 'play', 'id': '1341097828033888256', 'command_type': 1, 'authorizing_integration_owners': {'0': '1053969038751047700'}}, 'interaction': {'user': {'username': 'johnrealnoob', 'public_flags': 0, 'primary_guild': None, 'id': '668317895616626711', 'global_name': 'JohnRealNoob', 'discriminator': '0', 'clan': None, 'avatar_decoration_data': {'sku_id': '1338927497860878466', 'expires_at': 1744963200, 'asset': 'a_1307226c0fbaee9a3def12b88ee2bfcc'}, 'avatar': '63a84bc11c7e879080baf0028b93df1d'}, 'type': 2, 'name': 'play', 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-12-18T09:36:40.650000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1341097828033888256'}, 'id': '1341097828792926349', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '1053969038751047700', 'components': [], 'channel_type': 0, 'channel_id': '1316225608275066931', 'author': {'username': 'BaiCha', 'public_flags': 0, 'primary_guild': None, 'id': '1109699958401159258', 'global_name': None, 'discriminator': '0643', 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '7cd4cadab5094738da3acbcfc38c145a'}, 'attachments': [], 'application_id': '1109699958401159258', 'guild_id': '1053969038751047700'}}
[2025-02-17 10:24:05] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:05] [DEBUG   ] discord.client: Dispatching event raw_message_edit
[2025-02-17 10:24:05] [DEBUG   ] discord.client: Dispatching event message_edit
[2025-02-17 10:24:05] [DEBUG   ] discord.webhook.async_: Webhook ID 1109699958401159258 with POST https://discord.com/api/v10/webhooks/1109699958401159258/aW50ZXJhY3Rpb246MTM0MTA5NzgyODAzMzg4ODI1NjptNW5BZ3l6YUpSa0JpWE5QMGFJdVhYejNyWmpzN1NpVVBuSEtkQXlTUW5oWDBONTNkSGRGdEp1Q0gwNUQ4T3RRdjlVV00zNDdyN3BOejJ6ZnNQaUdBZU9TaTZCVUpMdU5NQ0Q5ZEdjOW84bXJTQzA4OTNmNEtPZHh1SjhzdkpLOQ has returned status code 200
[2025-02-17 10:24:05] [DEBUG   ] discord.player: Preparing to terminate ffmpeg process 29196.
[2025-02-17 10:24:05] [INFO    ] discord.player: ffmpeg process 29196 has not terminated. Waiting to terminate...
[2025-02-17 10:24:05] [INFO    ] discord.player: ffmpeg process 29196 should have terminated with a return code of 1.
[2025-02-17 10:24:05] [DEBUG   ] discord.client: Dispatching event app_command_completion
[2025-02-17 10:24:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 395, 'op': 0, 'd': {'user': {'id': '1244291562738024479'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': '🪄 /help | ดูคำสั่งทั้งหมด', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813045355}]}}
[2025-02-17 10:24:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:08] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:10] [DEBUG   ] discord.gateway: Keeping shard ID None voice websocket alive with timestamp 1739813050189.
[2025-02-17 10:24:10] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 3, 'd': 1739813050189}.
[2025-02-17 10:24:10] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 6, 'd': 1739813050189}
[2025-02-17 10:24:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 396, 'op': 0, 'd': {'user': {'id': '1244291562738024479'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': '🖥️ Cluster 0 | 2073 Servers 🖥️', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813048363}]}}
[2025-02-17 10:24:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:11] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 397, 'op': 0, 'd': {'user': {'id': '1244291562738024479'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': '💞 /setup | สร้างห้องเล่นเพลง', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813051356}]}}
[2025-02-17 10:24:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:14] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 398, 'op': 0, 'd': {'user': {'id': '927108202867359745'}, 'status': 'idle', 'guild_id': '901431481090596924', 'client_status': {'web': 'idle'}, 'activities': [{'type': 2, 'name': 'Saiko', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813052065}]}}
[2025-02-17 10:24:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:15] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:15] [DEBUG   ] discord.gateway: Keeping shard ID None voice websocket alive with timestamp 1739813055201.
[2025-02-17 10:24:15] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 3, 'd': 1739813055201}.
[2025-02-17 10:24:15] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 6, 'd': 1739813055201}
[2025-02-17 10:24:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 399, 'op': 0, 'd': {'member': {'user': {'username': 'johnrealnoob', 'public_flags': 0, 'primary_guild': None, 'id': '668317895616626711', 'global_name': 'JohnRealNoob', 'display_name': 'JohnRealNoob', 'discriminator': '0', 'clan': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1338927497860878466', 'expires_at': 1744963200, 'asset': 'a_1307226c0fbaee9a3def12b88ee2bfcc'}, 'avatar': '63a84bc11c7e879080baf0028b93df1d'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2022-12-18T09:36:40.650000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '668317895616626711', 'suppress': False, 'session_id': 'f83f176c9f0547487876541120f20de0', 'self_video': False, 'self_mute': True, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1053969038751047700', 'discoverable': True, 'deaf': False, 'channel_id': '1053969039237591070'}}
[2025-02-17 10:24:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:19] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2025-02-17 10:24:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 400, 'op': 0, 'd': {'user': {'id': '927108202867359745'}, 'status': 'idle', 'guild_id': '901431481090596924', 'client_status': {'web': 'idle'}, 'activities': [{'type': 2, 'name': 'Saiko', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813057042}]}}
[2025-02-17 10:24:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:20] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:20] [DEBUG   ] discord.gateway: Keeping shard ID None voice websocket alive with timestamp 1739813060214.
[2025-02-17 10:24:20] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 3, 'd': 1739813060214}.
[2025-02-17 10:24:20] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 6, 'd': 1739813060214}
[2025-02-17 10:24:23] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 401, 'op': 0, 'd': {'user': {'id': '1244291562738024479'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': '🎮 /play | เล่นเพลง', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813060355}]}}
[2025-02-17 10:24:23] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:23] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:25] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 402, 'op': 0, 'd': {'user': {'id': '927108202867359745'}, 'status': 'idle', 'guild_id': '901431481090596924', 'client_status': {'web': 'idle'}, 'activities': [{'type': 2, 'name': 'Saiko', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813062041}]}}
[2025-02-17 10:24:25] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:25] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:25] [DEBUG   ] discord.gateway: Keeping shard ID None voice websocket alive with timestamp 1739813065216.
[2025-02-17 10:24:25] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 3, 'd': 1739813065216}.
[2025-02-17 10:24:25] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 6, 'd': 1739813065216}
[2025-02-17 10:24:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 403, 'op': 0, 'd': {'user': {'id': '1244291562738024479'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': '🖥️ Cluster 0 | 2073 Servers 🖥️', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813063356}]}}
[2025-02-17 10:24:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:26] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 404, 'op': 0, 'd': {'user': {'id': '1244291562738024479'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': '🖥️ Cluster 0 | 2073 Servers 🖥️', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813066356}]}}
[2025-02-17 10:24:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:29] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 405, 'op': 0, 'd': {'user': {'id': '1085549382528667790'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': 'Cluster 2 | 4097 Servers 🖥️', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813067045}]}}
[2025-02-17 10:24:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:30] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:30] [DEBUG   ] discord.gateway: Keeping shard ID None voice websocket alive with timestamp 1739813070241.
[2025-02-17 10:24:30] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 3, 'd': 1739813070241}.
[2025-02-17 10:24:30] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 6, 'd': 1739813070241}
[2025-02-17 10:24:32] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 406, 'op': 0, 'd': {'user': {'id': '1244291562738024479'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': '🪄 /help | ดูคำสั่งทั้งหมด', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813069357}]}}
[2025-02-17 10:24:32] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:32] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 407, 'op': 0, 'd': {'user': {'id': '927108202867359745'}, 'status': 'idle', 'guild_id': '901431481090596924', 'client_status': {'web': 'idle'}, 'activities': [{'type': 4, 'state': 'Smiling', 'name': 'Custom Status', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813072044}]}}
[2025-02-17 10:24:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:35] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:35] [DEBUG   ] discord.gateway: Keeping shard ID None voice websocket alive with timestamp 1739813075248.
[2025-02-17 10:24:35] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 3, 'd': 1739813075248}.
[2025-02-17 10:24:35] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 6, 'd': 1739813075248}
[2025-02-17 10:24:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 408, 'op': 0, 'd': {'user': {'id': '1244291562738024479'}, 'status': 'online', 'guild_id': '901431481090596924', 'client_status': {'web': 'online'}, 'activities': [{'type': 4, 'state': '💞 /setup | สร้างห้องเล่นเพลง', 'name': 'custom', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813072361}]}}
[2025-02-17 10:24:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:35] [DEBUG   ] discord.client: Dispatching event presence_update
[2025-02-17 10:24:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'PRESENCE_UPDATE', 's': 409, 'op': 0, 'd': {'user': {'id': '927108202867359745'}, 'status': 'idle', 'guild_id': '901431481090596924', 'client_status': {'web': 'idle'}, 'activities': [{'type': 4, 'state': 'Smiling', 'name': 'Custom Status', 'id': 'ec0b28a579ecb4bd', 'created_at': 1739813077050}]}}
[2025-02-17 10:24:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-02-17 10:24:40] [DEBUG   ] discord.client: Dispatching event presence_update
